year,month,AQI
2015,1,265.06241008527996
2015,2,267.66
2015,3,260.60801210746985
2015,4,285.4069959654011
2015,5,240.21727063259323
2015,6,244.73542673107886
2015,7,231.74628599678655
2015,8,253.3635603345281
2015,9,211.16590789572535
2015,10,219.02513440860216
2015,11,195.4958333333333
2015,12,200.52379032258062
2016,1,193.24493940945553
2016,2,216.6985894453567
2016,3,287.1459104170326
2016,4,251.1158876117497
2016,5,232.58187666574764
2016,6,218.61131687242798
2016,7,213.00355456680262
2016,8,225.3410557184751
2016,9,272.75723923752406
2016,10,260.79205413422324
2016,11,250.6103648175912
2016,12,259.3250360750361
2017,1,259.913691980989
2017,2,263.4419091710758
2017,3,255.51685205784204
2017,4,213.28879652435685
2017,5,213.53157684282462
2017,6,200.87075351213284
2017,7,258.6646772508174
2017,8,264.2427626137304
2017,9,259.48634898963445
2017,10,245.89348454301074
2017,11,217.26861829501914
2017,12,229.10501544926458
2018,1,241.68598658211562
2018,2,242.66673302542867
2018,3,240.53832045403715
2018,4,217.99403419079266
2018,5,194.37272586101247
2018,6,211.1743731705576
2018,7,230.42871988363783
2018,8,239.98293938724848
2018,9,254.9176097903911
2018,10,233.47215833294104
2018,11,221.39022420075528
2018,12,230.7268243600835
2019,1,238.43301011319843
2019,2,243.2567234796991
2019,3,224.41954560349976
2019,4,223.52505641555464
2019,5,212.53409843554974
2019,6,216.70876167482376
2019,7,227.53922784345153
2019,8,238.8644419759062
2019,9,257.3041799179061
2019,10,235.91732540392252
2019,11,232.75772717154985
2019,12,238.64812788679947
2020,1,234.6942268200075
2020,2,234.29688774746666
2020,3,238.47617966838743
2020,4,244.32096123201464
2020,5,259.7200891237967
2020,6,264.3123936867513
2020,7,267.7948717948718
