Year,Price (24 karat per 10 grams)
1964,63.25
1965,71.75
1966,83.75
1967,102.5
1968,162
1969,176
1970,184
1971,193
1972,202
1973,278.5
1974,506
1975,540
1976,432
1977,486
1978,685
1979,937
1980,1330
1981,1800
1982,1645
1983,1800
1984,1970
1985,2130
1986,2140
1987,2570
1988,3130
1989,3140
1990,3200
1991,3466
1992,4334
1993,4140
1994,4598
1995,4680
1996,5160
1997,4725
1998,4045
1999,4234
2000,4400
2001,4300
2002,4990
2003,5600
2004,5850
2005,7000
2006,8400
2007,10800
2008,12500
2009,14500
2010,18500
2011,26400
2012,31050
2013,29600
2014,28006.5
2015,26343.5
2016,28623.5
2017,29667.5
2018,31438
2019,35220
